StepSize,1
Degree,Value,Timestamp
198.000,3.863000,1776913002.888
199.001,3.863000,1776913003.735
200.002,3.863000,1776913004.583
200.998,3.862000,1776913005.446
201.999,3.862000,1776913006.294
203.001,3.861000,1776913007.141
204.002,3.860000,1776913008.005
204.997,3.860000,1776913008.852
205.999,3.861000,1776913009.700
207.000,3.861000,1776913010.547
208.001,3.861000,1776913011.411
209.002,3.860000,1776913012.258
209.998,3.859000,1776913013.121
210.999,3.858000,1776913013.985
212.001,3.858000,1776913014.864
213.002,3.857000,1776913015.728
213.997,3.856000,1776913016.591
214.999,3.855000,1776913017.439
216.000,3.854000,1776913018.286
217.001,3.855000,1776913019.149
218.002,3.854000,1776913020.013
218.998,3.853000,1776913020.860
219.999,3.852000,1776913021.708
221.001,3.851000,1776913022.571
222.002,3.851000,1776913023.435
222.997,3.849000,1776913024.282
223.999,3.849000,1776913025.130
225.000,3.850000,1776913025.993
226.001,3.849000,1776913026.840
227.002,3.847000,1776913027.704
227.998,3.847000,1776913028.551
228.999,3.847000,1776913029.415
230.001,3.847000,1776913030.262
231.002,3.845000,1776913031.109
231.997,3.844000,1776913031.973
232.999,3.847000,1776913032.836
234.000,3.844000,1776913033.684
235.001,3.844000,1776913034.531
236.002,3.844000,1776913035.378
236.998,3.843000,1776913036.226
237.999,3.842000,1776913037.089
239.001,3.842000,1776913037.937
240.002,3.842000,1776913038.784
240.997,3.841000,1776913039.648
241.999,3.840000,1776913040.511
243.000,3.842000,1776913041.374
244.001,3.841000,1776913042.254
245.002,3.841000,1776913043.101
245.998,3.841000,1776913043.965
246.999,3.838000,1776913044.812
248.001,3.840000,1776913045.660
249.002,3.838000,1776913046.507
249.997,3.838000,1776913047.370
250.999,3.839000,1776913048.218
252.000,3.838000,1776913049.081
253.001,3.838000,1776913049.945
254.002,3.836000,1776913050.792
254.998,3.838000,1776913051.640
255.999,3.836000,1776913052.503
257.001,3.836000,1776913053.351
258.002,3.837000,1776913054.198
258.997,3.837000,1776913055.061
259.999,3.836000,1776913055.925
261.000,3.836000,1776913056.772
262.001,3.837000,1776913057.620
263.002,3.836000,1776913058.467
263.998,3.836000,1776913059.331
264.999,3.837000,1776913060.194
266.001,3.837000,1776913061.057
267.002,3.836000,1776913061.905
267.997,3.836000,1776913062.768
268.999,3.836000,1776913063.616
270.000,3.836000,1776913064.463
271.001,3.836000,1776913065.327
272.002,3.837000,1776913066.174
272.998,3.836000,1776913067.021
273.999,3.837000,1776913067.869
275.001,3.836000,1776913068.748
276.002,3.837000,1776913069.612
276.997,3.836000,1776913070.459
277.999,3.836000,1776913071.307
279.000,3.838000,1776913072.154
280.001,3.838000,1776913073.001
281.002,3.838000,1776913073.865
281.998,3.840000,1776913074.712
282.999,3.843000,1776913075.560
284.001,3.842000,1776913076.407
285.002,3.845000,1776913077.271
285.997,3.873000,1776913078.134
286.999,3.874000,1776913078.981
288.000,3.869000,1776913079.829
289.001,3.858000,1776913080.676
290.002,3.849000,1776913081.524
290.998,3.842000,1776913082.387
291.999,3.838000,1776913083.234
293.001,3.834000,1776913084.114
294.002,3.830000,1776913084.961
294.997,3.830000,1776913085.825
295.999,3.832000,1776913086.672
297.000,3.836000,1776913087.520
298.001,3.841000,1776913088.367
299.002,3.841000,1776913089.231
299.998,3.859000,1776913090.078
300.999,3.857000,1776913090.925
302.001,3.854000,1776913091.789
303.002,3.850000,1776913092.652
303.997,3.844000,1776913093.500
304.999,3.844000,1776913094.363
306.000,3.844000,1776913095.211
307.001,3.843000,1776913096.058
308.002,3.844000,1776913096.921
308.998,3.844000,1776913097.769
309.999,3.846000,1776913098.616
311.001,3.846000,1776913099.464
312.002,3.846000,1776913100.311
312.997,3.848000,1776913101.159
313.999,3.847000,1776913102.006
315.000,3.848000,1776913102.853
316.001,3.848000,1776913103.701
317.002,3.848000,1776913104.564
317.998,3.848000,1776913105.412
318.999,3.849000,1776913106.259
320.001,3.850000,1776913107.123
321.002,3.850000,1776913107.970
321.997,3.848000,1776913108.833
322.999,3.850000,1776913109.681
324.000,3.851000,1776913110.528
325.001,3.851000,1776913111.376
326.002,3.851000,1776913112.239
326.998,3.851000,1776913113.087
327.999,3.853000,1776913113.934
329.001,3.853000,1776913114.781
330.002,3.853000,1776913115.629
330.997,3.852000,1776913116.476
331.999,3.854000,1776913117.324
333.000,3.856000,1776913118.171
334.001,3.855000,1776913119.019
335.002,3.855000,1776913119.882
335.998,3.857000,1776913120.729
336.999,3.858000,1776913121.577
338.001,3.858000,1776913122.425
339.002,3.858000,1776913123.272
339.997,3.858000,1776913124.135
340.999,3.859000,1776913124.983
342.000,3.859000,1776913125.830
343.001,3.860000,1776913126.678
344.002,3.860000,1776913127.541
344.998,3.859000,1776913128.405
345.999,3.860000,1776913129.252
347.001,3.862000,1776913130.115
348.002,3.861000,1776913130.979
348.997,3.861000,1776913131.826
349.999,3.862000,1776913132.674
351.000,3.863000,1776913133.537
352.001,3.864000,1776913134.401
353.002,3.864000,1776913135.264
353.998,3.863000,1776913136.128
354.999,3.865000,1776913136.975
356.001,3.865000,1776913137.823
357.002,3.866000,1776913138.670
357.997,3.864000,1776913139.533
358.999,3.867000,1776913140.397
