StepSize,1
Degree,Value,Timestamp
198.000,3.123000,1775316086.157
199.001,3.122000,1775316087.004
200.002,3.123000,1775316087.868
200.998,3.124000,1775316088.731
201.999,3.123000,1775316089.578
203.001,3.124000,1775316090.426
204.002,3.121000,1775316091.273
204.997,3.116000,1775316092.121
205.999,3.115000,1775316092.968
207.000,3.117000,1775316093.816
208.001,3.122000,1775316094.663
209.002,3.123000,1775316095.511
209.998,3.121000,1775316096.374
210.999,3.119000,1775316097.238
212.001,3.120000,1775316098.101
213.002,3.121000,1775316098.949
213.997,3.121000,1775316099.796
214.999,3.121000,1775316100.644
216.000,3.118000,1775316101.491
217.001,3.115000,1775316102.355
218.002,3.113000,1775316103.202
218.998,3.114000,1775316104.049
219.999,3.118000,1775316104.897
221.001,3.117000,1775316105.760
222.002,3.112000,1775316106.608
222.997,3.110000,1775316107.455
223.999,3.112000,1775316108.303
225.000,3.113000,1775316109.150
226.001,3.114000,1775316110.014
227.002,3.114000,1775316110.861
227.998,3.113000,1775316111.709
228.999,3.111000,1775316112.572
230.001,3.109000,1775316113.436
231.002,3.110000,1775316114.283
231.997,3.110000,1775316115.146
232.999,3.108000,1775316116.010
234.000,3.102000,1775316116.857
235.001,3.099000,1775316117.705
236.002,3.100000,1775316118.552
236.998,3.104000,1775316119.400
237.999,3.108000,1775316120.247
239.001,3.126000,1775316121.095
240.002,3.117000,1775316121.958
240.997,3.114000,1775316122.806
241.999,3.116000,1775316123.653
243.000,3.119000,1775316124.517
244.001,3.121000,1775316125.380
245.002,3.123000,1775316126.228
245.998,3.122000,1775316127.075
246.999,3.121000,1775316127.923
248.001,3.120000,1775316128.770
249.002,3.121000,1775316129.618
249.997,3.122000,1775316130.465
250.999,3.123000,1775316131.329
252.000,3.120000,1775316132.176
253.001,3.116000,1775316133.039
254.002,3.115000,1775316133.903
254.998,3.118000,1775316134.750
255.999,3.122000,1775316135.598
257.001,3.123000,1775316136.461
258.002,3.122000,1775316137.325
258.997,3.121000,1775316138.188
259.999,3.122000,1775316139.036
261.000,3.122000,1775316139.883
262.001,3.123000,1775316140.747
263.002,3.124000,1775316141.594
263.998,3.123000,1775316142.457
264.999,3.120000,1775316143.305
266.001,3.117000,1775316144.152
267.002,3.118000,1775316145.016
267.997,3.123000,1775316145.863
268.999,3.125000,1775316146.711
270.000,3.123000,1775316147.558
271.001,3.122000,1775316148.422
272.002,3.121000,1775316149.285
272.998,3.123000,1775316150.132
273.999,3.123000,1775316150.996
275.001,3.124000,1775316151.843
276.002,3.123000,1775316152.707
276.997,3.122000,1775316153.554
277.999,3.122000,1775316154.402
279.000,3.122000,1775316155.265
280.001,3.123000,1775316156.129
281.002,3.123000,1775316156.976
281.998,3.120000,1775316157.824
282.999,3.115000,1775316158.671
284.001,3.115000,1775316159.535
285.002,3.118000,1775316160.382
285.997,3.121000,1775316161.245
286.999,3.121000,1775316162.109
288.000,3.118000,1775316162.957
289.001,3.119000,1775316163.820
290.002,3.119000,1775316164.683
290.998,3.119000,1775316165.531
291.999,3.119000,1775316166.378
293.001,3.119000,1775316167.226
294.002,3.117000,1775316168.073
294.997,3.112000,1775316168.921
295.999,3.110000,1775316169.768
297.000,3.112000,1775316170.632
298.001,3.117000,1775316171.495
299.002,3.118000,1775316172.343
299.998,3.116000,1775316173.206
300.999,3.114000,1775316174.053
302.001,3.114000,1775316174.901
303.002,3.114000,1775316175.748
303.997,3.115000,1775316176.596
304.999,3.114000,1775316177.443
306.000,3.112000,1775316178.307
307.001,3.108000,1775316179.170
308.002,3.106000,1775316180.018
308.998,3.107000,1775316180.865
309.999,3.110000,1775316181.713
311.001,3.110000,1775316182.576
312.002,3.105000,1775316183.439
312.997,3.103000,1775316184.287
313.999,3.104000,1775316185.134
315.000,3.106000,1775316185.998
316.001,3.106000,1775316186.845
317.002,3.107000,1775316187.693
317.998,3.105000,1775316188.556
318.999,3.104000,1775316189.404
320.001,3.101000,1775316190.251
321.002,3.102000,1775316191.115
321.997,3.102000,1775316191.962
322.999,3.100000,1775316192.809
324.000,3.094000,1775316193.657
325.001,3.091000,1775316194.504
326.002,3.092000,1775316195.352
326.998,3.096000,1775316196.199
327.999,3.098000,1775316197.047
329.001,3.105000,1775316197.894
330.002,3.096000,1775316198.742
330.997,3.095000,1775316199.605
331.999,3.097000,1775316200.468
333.000,3.100000,1775316201.332
334.001,3.101000,1775316202.196
335.002,3.102000,1775316203.043
335.998,3.102000,1775316203.890
336.999,3.100000,1775316204.738
338.001,3.099000,1775316205.601
339.002,3.100000,1775316206.465
339.997,3.102000,1775316207.312
340.999,3.102000,1775316208.160
342.000,3.098000,1775316209.007
343.001,3.095000,1775316209.855
344.002,3.096000,1775316210.718
344.998,3.100000,1775316211.582
345.999,3.102000,1775316212.429
347.001,3.103000,1775316213.293
348.002,3.103000,1775316214.140
348.997,3.102000,1775316215.003
349.999,3.102000,1775316215.851
351.000,3.102000,1775316216.698
352.001,3.103000,1775316217.562
353.002,3.104000,1775316218.409
353.998,3.103000,1775316219.257
354.999,3.098000,1775316220.104
356.001,3.098000,1775316220.952
357.002,3.100000,1775316221.815
357.997,3.104000,1775316222.663
358.999,3.105000,1775316223.510
