Degree,Value,Timestamp
0.000,78.821000,1775238196.029
1.001,78.806000,1775238196.892
2.002,78.824000,1775238197.740
2.998,78.841000,1775238198.587
3.999,78.834000,1775238199.435
5.001,78.866000,1775238200.282
6.002,78.838000,1775238201.146
6.997,78.845000,1775238202.009
7.999,78.845000,1775238202.873
9.000,78.821000,1775238203.720
10.001,78.867000,1775238204.567
11.002,78.872000,1775238205.431
11.998,78.786000,1775238206.278
12.999,78.697000,1775238207.126
14.001,78.702000,1775238207.989
15.002,78.792000,1775238208.837
15.997,78.838000,1775238209.700
16.999,78.850000,1775238210.564
18.000,78.789000,1775238211.427
19.001,78.838000,1775238212.275
20.002,78.811000,1775238213.138
20.998,78.836000,1775238214.001
21.999,78.832000,1775238214.865
23.001,78.861000,1775238215.712
24.002,78.788000,1775238216.560
24.997,78.683000,1775238217.407
25.999,78.623000,1775238218.255
27.000,78.700000,1775238219.103
28.001,78.810000,1775238219.950
29.002,78.867000,1775238220.814
29.998,78.782000,1775238221.677
30.999,78.754000,1775238222.524
32.001,78.795000,1775238223.372
33.002,78.817000,1775238224.220
33.997,78.824000,1775238225.083
34.999,78.816000,1775238225.947
36.000,78.767000,1775238226.794
37.001,78.701000,1775238227.643
38.002,78.639000,1775238228.489
38.998,78.647000,1775238229.336
39.999,78.721000,1775238230.200
41.001,78.746000,1775238231.063
42.002,78.654000,1775238231.911
42.997,78.573000,1775238232.774
43.999,78.624000,1775238233.638
45.000,78.665000,1775238234.485
46.001,78.706000,1775238235.333
47.002,78.733000,1775238236.180
47.998,78.691000,1775238237.043
48.999,78.652000,1775238237.907
50.001,78.637000,1775238238.770
51.002,78.631000,1775238239.634
51.997,78.652000,1775238240.497
52.999,78.590000,1775238241.345
54.000,78.475000,1775238242.192
55.001,78.375000,1775238243.040
56.002,78.398000,1775238243.887
56.998,78.464000,1775238244.734
57.999,78.603000,1775238245.598
59.001,79.078000,1775238246.461
60.002,78.886000,1775238247.309
60.997,78.852000,1775238248.172
61.999,78.905000,1775238249.020
63.000,79.022000,1775238249.867
64.001,79.038000,1775238250.731
65.002,79.091000,1775238251.578
65.998,79.066000,1775238252.426
66.999,79.048000,1775238253.289
68.001,79.033000,1775238254.153
69.002,79.066000,1775238255.032
69.997,79.109000,1775238255.896
70.999,79.130000,1775238256.759
72.000,79.045000,1775238257.607
73.001,78.973000,1775238258.454
74.002,78.965000,1775238259.317
74.998,79.079000,1775238260.181
75.999,79.161000,1775238261.029
77.001,79.201000,1775238261.876
78.002,79.186000,1775238262.723
78.997,79.169000,1775238263.587
79.999,79.190000,1775238264.434
81.000,79.203000,1775238265.282
82.001,79.259000,1775238266.145
83.002,79.271000,1775238266.992
83.998,79.245000,1775238267.840
84.999,79.150000,1775238268.687
86.001,79.106000,1775238269.535
87.002,79.167000,1775238270.382
87.997,79.292000,1775238271.230
88.999,79.322000,1775238272.077
90.000,79.304000,1775238272.925
91.001,79.292000,1775238273.772
92.002,79.301000,1775238274.620
92.998,79.329000,1775238275.483
93.999,79.354000,1775238276.346
95.001,79.381000,1775238277.194
96.002,79.352000,1775238278.042
96.997,79.362000,1775238278.905
97.999,79.332000,1775238279.752
99.000,79.359000,1775238280.600
100.001,79.394000,1775238281.447
101.002,79.392000,1775238282.311
101.998,79.298000,1775238283.174
102.999,79.204000,1775238284.038
104.001,79.231000,1775238284.885
105.002,79.328000,1775238285.733
105.997,79.379000,1775238286.580
106.999,79.367000,1775238287.427
108.000,79.350000,1775238288.291
109.001,79.381000,1775238289.154
110.002,79.371000,1775238290.018
110.998,79.356000,1775238290.865
111.999,79.389000,1775238291.713
113.001,79.390000,1775238292.560
114.002,79.318000,1775238293.408
114.997,79.228000,1775238294.255
115.999,79.192000,1775238295.119
117.000,79.265000,1775238295.982
118.001,79.394000,1775238296.845
119.002,79.389000,1775238297.709
119.998,79.370000,1775238298.572
120.999,79.333000,1775238299.436
122.001,79.350000,1775238300.283
123.002,79.366000,1775238301.131
123.997,79.376000,1775238301.978
124.999,79.368000,1775238302.842
126.000,79.319000,1775238303.689
127.001,79.233000,1775238304.536
128.002,79.184000,1775238305.384
128.998,79.215000,1775238306.231
129.999,79.300000,1775238307.079
131.001,79.295000,1775238307.926
132.002,79.180000,1775238308.790
132.997,79.143000,1775238309.653
133.999,79.191000,1775238310.501
135.000,79.205000,1775238311.364
136.001,79.247000,1775238312.228
137.002,79.252000,1775238313.091
137.998,79.210000,1775238313.955
138.999,79.170000,1775238314.802
140.001,79.143000,1775238315.649
141.002,79.169000,1775238316.497
141.997,79.179000,1775238317.344
142.999,79.100000,1775238318.208
144.000,78.952000,1775238319.055
145.001,78.895000,1775238319.903
146.002,78.943000,1775238320.750
146.998,79.013000,1775238321.598
147.999,79.241000,1775238322.461
149.001,79.329000,1775238323.309
150.002,79.055000,1775238324.156
150.997,79.021000,1775238325.004
151.999,79.068000,1775238325.851
153.000,79.157000,1775238326.699
154.001,79.185000,1775238327.562
155.002,79.229000,1775238328.410
155.998,79.212000,1775238329.257
156.999,79.176000,1775238330.121
158.001,79.169000,1775238330.984
159.002,79.210000,1775238331.848
159.997,79.246000,1775238332.695
160.999,79.237000,1775238333.543
162.000,79.171000,1775238334.390
163.001,79.084000,1775238335.237
164.002,79.088000,1775238336.101
164.998,79.165000,1775238336.949
165.999,79.251000,1775238337.796
167.001,79.302000,1775238338.643
168.002,79.262000,1775238339.507
168.997,79.273000,1775238340.354
169.999,79.281000,1775238341.202
171.000,79.287000,1775238342.065
172.001,79.325000,1775238342.913
173.002,79.331000,1775238343.760
173.998,79.295000,1775238344.608
174.999,79.212000,1775238345.455
176.001,79.149000,1775238346.318
177.002,79.204000,1775238347.182
177.997,79.342000,1775238348.045
178.999,79.358000,1775238348.909
180.000,79.331000,1775238349.756
181.001,79.313000,1775238350.604
182.002,79.308000,1775238351.467
182.998,79.354000,1775238352.331
183.999,79.347000,1775238353.194
185.001,79.368000,1775238354.058
186.002,79.348000,1775238354.921
186.997,79.363000,1775238355.784
187.999,79.335000,1775238356.632
189.000,79.353000,1775238357.479
190.001,79.372000,1775238358.327
191.002,79.375000,1775238359.174
191.998,79.296000,1775238360.038
192.999,79.173000,1775238360.901
194.001,79.185000,1775238361.749
195.002,79.278000,1775238362.613
195.997,79.331000,1775238363.476
196.999,79.336000,1775238364.323
198.000,79.282000,1775238365.171
199.001,79.292000,1775238366.034
200.002,79.315000,1775238366.882
200.998,79.308000,1775238367.745
201.999,79.301000,1775238368.609
203.001,79.325000,1775238369.472
204.002,79.273000,1775238370.335
204.997,79.139000,1775238371.183
205.999,79.080000,1775238372.030
207.000,79.161000,1775238372.878
208.001,79.278000,1775238373.725
209.002,79.294000,1775238374.573
209.998,79.257000,1775238375.420
210.999,79.198000,1775238376.284
212.001,79.219000,1775238377.147
213.002,79.240000,1775238377.995
213.997,79.258000,1775238378.842
214.999,79.239000,1775238379.690
216.000,79.183000,1775238380.553
217.001,79.087000,1775238381.401
218.002,79.065000,1775238382.248
218.998,79.046000,1775238383.111
219.999,79.141000,1775238383.959
221.001,79.133000,1775238384.806
222.002,79.014000,1775238385.670
222.997,78.986000,1775238384.097
223.999,78.997000,1775238384.944
225.000,79.033000,1775238385.792
226.001,79.047000,1775238386.639
227.002,79.065000,1775238387.503
227.998,79.039000,1775238388.350
228.999,78.988000,1775238389.214
230.001,78.927000,1775238390.077
231.002,78.956000,1775238390.924
231.997,78.980000,1775238391.772
232.999,78.924000,1775238392.651
234.000,78.742000,1775238393.499
235.001,78.676000,1775238394.346
236.002,78.697000,1775238395.210
236.998,78.771000,1775238396.073
237.999,78.887000,1775238396.920
239.001,79.404000,1775238397.784
240.002,79.142000,1775238398.631
240.997,79.077000,1775238399.479
241.999,79.089000,1775238400.326
243.000,79.177000,1775238401.190
244.001,79.238000,1775238402.053
245.002,79.279000,1775238402.917
245.998,79.239000,1775238403.780
246.999,79.224000,1775238404.644
248.001,79.223000,1775238405.491
249.002,79.254000,1775238406.338
249.997,79.269000,1775238407.186
250.999,79.286000,1775238408.033
252.000,79.225000,1775238408.881
253.001,79.131000,1775238409.728
254.002,79.097000,1775238410.592
254.998,79.143000,1775238411.455
255.999,79.243000,1775238412.319
257.001,79.304000,1775238413.166
258.002,79.271000,1775238414.030
258.997,79.239000,1775238414.893
259.999,79.257000,1775238415.741
261.000,79.273000,1775238416.588
262.001,79.304000,1775238417.435
263.002,79.317000,1775238418.299
263.998,79.298000,1775238419.162
264.999,79.224000,1775238420.042
266.001,79.143000,1775238420.905
267.002,79.169000,1775238421.753
267.997,79.281000,1775238422.600
268.999,79.322000,1775238423.447
270.000,79.281000,1775238424.295
271.001,79.252000,1775238425.142
272.002,79.251000,1775238426.006
272.998,79.286000,1775238426.870
273.999,79.307000,1775238427.733
275.001,79.307000,1775238428.596
276.002,79.292000,1775238429.444
276.997,79.285000,1775238430.291
277.999,79.268000,1775238431.155
279.000,79.259000,1775238432.018
280.001,79.277000,1775238432.882
281.002,79.304000,1775238433.745
281.998,79.219000,1775238434.593
282.999,79.103000,1775238435.440
