Degree,Value,Timestamp
284.001,79.092000,1775238436.288
285.002,79.150000,1775238437.135
285.997,79.219000,1775238437.999
286.999,79.210000,1775238438.862
288.000,79.164000,1775238439.710
289.001,79.187000,1775238440.557
290.002,79.206000,1775238441.405
290.998,79.191000,1775238442.252
291.999,79.176000,1775238443.116
293.001,79.189000,1775238443.963
294.002,79.154000,1775238444.811
294.997,79.030000,1775238445.658
295.999,78.954000,1775238446.522
297.000,79.002000,1775238447.385
298.001,79.131000,1775238448.249
299.002,79.163000,1775238449.112
299.998,79.104000,1775238449.959
300.999,79.064000,1775238450.823
302.001,79.076000,1775238451.671
303.002,79.073000,1775238452.518
303.997,79.092000,1775238453.365
304.999,79.065000,1775238454.229
306.000,79.014000,1775238455.076
307.001,78.940000,1775238455.924
308.002,78.852000,1775238456.771
308.998,78.873000,1775238457.619
309.999,78.953000,1775238458.466
311.001,78.974000,1775238459.314
312.002,78.849000,1775238460.177
312.997,78.781000,1775238461.025
313.999,78.816000,1775238461.889
315.000,78.852000,1775238462.736
316.001,78.870000,1775238463.583
317.002,78.892000,1775238464.431
317.998,78.841000,1775238465.294
318.999,78.803000,1775238466.142
320.001,78.752000,1775238466.989
321.002,78.741000,1775238467.836
321.997,78.765000,1775238468.684
322.999,78.712000,1775238469.531
324.000,78.567000,1775238470.379
325.001,78.478000,1775238471.226
326.002,78.511000,1775238472.090
326.998,78.589000,1775238472.937
327.999,78.610000,1775238473.801
329.001,78.865000,1775238474.648
330.002,78.607000,1775238475.496
330.997,78.571000,1775238476.343
331.999,78.610000,1775238477.191
333.000,78.696000,1775238478.038
334.001,78.730000,1775238478.886
335.002,78.770000,1775238479.733
335.998,78.752000,1775238480.581
336.999,78.715000,1775238481.428
338.001,78.687000,1775238482.276
339.002,78.725000,1775238483.123
339.997,78.767000,1775238483.971
340.999,78.766000,1775238484.818
342.000,78.668000,1775238485.666
343.001,78.589000,1775238486.513
344.002,78.593000,1775238487.360
344.998,78.694000,1775238488.208
345.999,78.765000,1775238489.055
347.001,78.789000,1775238489.919
348.002,78.780000,1775238490.766
348.997,78.762000,1775238491.614
349.999,78.775000,1775238492.461
351.000,78.760000,1775238493.325
352.001,78.808000,1775238494.172
353.002,78.826000,1775238495.020
353.998,78.786000,1775238495.867
354.999,78.678000,1775238496.714
356.001,78.630000,1775238497.562
357.002,78.702000,1775238498.409
357.997,78.819000,1775238499.273
358.999,78.840000,1775238500.120
