StepSize,1
Degree,Value,Timestamp
198.000,3.841000,1778027861.353
199.001,3.842000,1778027862.200
200.002,3.843000,1778027863.048
200.998,3.844000,1778027863.895
201.999,3.844000,1778027864.743
203.001,3.846000,1778027865.590
204.002,3.846000,1778027866.438
204.997,3.847000,1778027867.301
205.999,3.847000,1778027868.148
207.000,3.847000,1778027868.996
208.001,3.848000,1778027869.859
209.002,3.848000,1778027870.707
209.998,3.848000,1778027871.570
210.999,3.850000,1778027872.417
212.001,3.850000,1778027873.265
213.002,3.850000,1778027874.128
213.997,3.850000,1778027874.992
214.999,3.850000,1778027875.839
216.000,3.851000,1778027876.687
217.001,3.851000,1778027877.534
218.002,3.850000,1778027878.381
218.998,3.850000,1778027879.245
219.999,3.851000,1778027880.092
221.001,3.851000,1778027880.940
222.002,3.851000,1778027881.803
222.997,3.851000,1778027882.650
223.999,3.851000,1778027883.514
225.000,3.852000,1778027884.377
226.001,3.851000,1778027885.225
227.002,3.852000,1778027886.088
227.998,3.853000,1778027886.936
228.999,3.853000,1778027887.783
230.001,3.853000,1778027888.630
231.002,3.854000,1778027889.494
231.997,3.854000,1778027890.357
232.999,3.854000,1778027891.205
234.000,3.855000,1778027892.068
235.001,3.857000,1778027892.916
236.002,3.855000,1778027893.779
236.998,3.855000,1778027894.626
237.999,3.856000,1778027895.490
239.001,3.856000,1778027896.353
240.002,3.857000,1778027897.201
240.997,3.856000,1778027898.048
241.999,3.857000,1778027898.912
243.000,3.858000,1778027899.759
244.001,3.858000,1778027900.622
245.002,3.858000,1778027901.470
245.998,3.857000,1778027902.317
246.999,3.858000,1778027903.165
248.001,3.858000,1778027904.012
249.002,3.859000,1778027904.859
249.997,3.858000,1778027905.707
250.999,3.858000,1778027906.554
252.000,3.859000,1778027907.418
253.001,3.858000,1778027908.281
254.002,3.858000,1778027909.129
254.998,3.859000,1778027909.992
255.999,3.859000,1778027910.839
257.001,3.859000,1778027911.687
258.002,3.860000,1778027912.550
258.997,3.860000,1778027913.398
259.999,3.859000,1778027914.261
261.000,3.860000,1778027915.108
262.001,3.861000,1778027915.956
263.002,3.860000,1778027916.803
263.998,3.859000,1778027917.651
264.999,3.860000,1778027918.514
266.001,3.860000,1778027919.362
267.002,3.860000,1778027920.225
267.997,3.859000,1778027921.073
268.999,3.859000,1778027921.920
270.000,3.859000,1778027922.783
271.001,3.860000,1778027923.631
272.002,3.859000,1778027924.494
272.998,3.859000,1778027925.342
273.999,3.859000,1778027926.189
275.001,3.859000,1778027927.052
276.002,3.859000,1778027927.900
276.997,3.859000,1778027928.763
277.999,3.859000,1778027929.611
279.000,3.860000,1778027930.458
280.001,3.860000,1778027931.306
281.002,3.860000,1778027932.169
281.998,3.860000,1778027933.017
282.999,3.861000,1778027933.864
284.001,3.862000,1778027934.727
285.002,3.861000,1778027935.575
285.997,3.862000,1778027936.422
286.999,3.862000,1778027937.270
288.000,3.861000,1778027938.117
289.001,3.862000,1778027938.964
290.002,3.862000,1778027939.828
290.998,3.861000,1778027940.675
291.999,3.862000,1778027941.523
293.001,3.862000,1778027942.370
294.002,3.862000,1778027943.218
294.997,3.863000,1778027944.065
295.999,3.862000,1778027944.913
297.000,3.862000,1778027945.776
298.001,3.861000,1778027946.624
299.002,3.861000,1778027947.471
299.998,3.861000,1778027948.318
300.999,3.860000,1778027949.166
302.001,3.860000,1778027950.013
303.002,3.861000,1778027950.877
303.997,3.860000,1778027951.724
304.999,3.858000,1778027952.571
306.000,3.858000,1778027953.419
307.001,3.859000,1778027954.266
308.002,3.858000,1778027955.130
308.998,3.855000,1778027955.977
309.999,3.855000,1778027956.841
311.001,3.855000,1778027957.688
312.002,3.855000,1778027958.552
312.997,3.852000,1778027959.415
313.999,3.852000,1778027960.262
315.000,3.852000,1778027961.126
316.001,3.851000,1778027961.989
317.002,3.850000,1778027962.837
317.998,3.849000,1778027963.700
318.999,3.849000,1778027964.547
320.001,3.850000,1778027965.411
321.002,3.849000,1778027966.274
321.997,3.847000,1778027967.122
322.999,3.847000,1778027967.985
324.000,3.846000,1778027968.833
325.001,3.846000,1778027969.680
326.002,3.846000,1778027970.528
326.998,3.845000,1778027971.391
327.999,3.844000,1778027972.238
329.001,3.845000,1778027973.086
330.002,3.844000,1778027973.949
330.997,3.844000,1778027974.813
331.999,3.843000,1778027975.676
333.000,3.842000,1778027976.523
334.001,3.842000,1778027977.371
335.002,3.842000,1778027978.234
335.998,3.842000,1778027979.082
336.999,3.840000,1778027979.929
338.001,3.841000,1778027980.777
339.002,3.841000,1778027981.640
339.997,3.839000,1778027982.487
340.999,3.838000,1778027983.335
342.000,3.839000,1778027984.182
343.001,3.839000,1778027985.046
344.002,3.837000,1778027985.893
344.998,3.837000,1778027986.757
345.999,3.836000,1778027987.604
347.001,3.835000,1778027988.467
348.002,3.835000,1778027989.315
348.997,3.833000,1778027990.162
349.999,3.834000,1778027991.026
351.000,3.833000,1778027991.889
352.001,3.833000,1778027992.737
353.002,3.832000,1778027993.600
353.998,3.831000,1778027994.447
354.999,3.831000,1778027995.311
356.001,3.831000,1778027996.158
357.002,3.831000,1778027997.022
357.997,3.830000,1778027997.869
358.999,3.830000,1778027998.733
