# Combined Diameter Scan Report
# Part_ID,OnlineTest
# Timestamp,2026-08-20 20:29:03
# Calibration_File,calibration_Black_05052026-1_20260505_203959.csv
# B19_Calibrated_Diameter,411.163000
# F25_Nominal_Mean,3.829825
# Raw_Diameter,14.052700
# Raw_RMS_Residual,0.148492
# Raw_R_Squared,0.00000000
# Calibrated_Diameter,14.051814
# Calibrated_RMS_Residual,0.147199
# Calibrated_R_Squared,0.00000000
# Recipe,JR_Test Recipe
# Cognex_Job,DiameterGagingMachine_JR.jobx
# Nominal,14.000000
# Tol_Plus,0.125000
# Tol_Minus,0.125000
# Result,PASS

Degree,Raw_B21,F25_cal,Offset_Applied,Calibrated_B21
0.000,6.925000,3.829000,-0.000825,6.924175
45.000,6.987000,3.807000,-0.022825,6.964175
90.000,7.143000,3.795000,-0.034825,7.108175
135.000,6.899000,3.808000,-0.021825,6.877175
180.000,6.765000,3.831000,0.001175,6.766175
225.000,7.168000,3.852000,0.022175,7.190175
270.000,7.317000,3.859000,0.029175,7.346175
315.000,7.004000,3.852000,0.022175,7.026175
