# Multi-Rotation Diameter Scan Report
# Part_ID,CalTest_5x
# Timestamp,2026-05-05 22:29:27
# Num_Rotations,5
# Calibration_Applied,yes
# Calibration_File,calibration_ring_gauge_2_20260404_112344.csv
# B19_Calibrated_Diameter,411.163000
# F25_Nominal_Mean,3.113739
# Rotation_1_Diameter,10.351019
# Rotation_1_RMS_Residual,0.041072
# Rotation_1_Max_Residual,0.073880
# Rotation_1_R_Squared,0.00000000
# Rotation_2_Diameter,10.349766
# Rotation_2_RMS_Residual,0.040791
# Rotation_2_Max_Residual,0.070766
# Rotation_2_R_Squared,0.00000000
# Rotation_3_Diameter,10.350591
# Rotation_3_RMS_Residual,0.041460
# Rotation_3_Max_Residual,0.076245
# Rotation_3_R_Squared,0.00000000
# Rotation_4_Diameter,10.351188
# Rotation_4_RMS_Residual,0.041036
# Rotation_4_Max_Residual,0.071802
# Rotation_4_R_Squared,0.00000000
# Rotation_5_Diameter,10.350036
# Rotation_5_RMS_Residual,0.040436
# Rotation_5_Max_Residual,0.070612
# Rotation_5_R_Squared,0.00000000
# Diameter_Range_Across_Rotations,0.001422
# Diameter_Stdev_Across_Rotations,0.000548

Rotation,Degree,Value
4,100.000,4.919261
4,105.000,4.804261
4,110.000,4.691261
4,115.000,4.609261
4,120.000,4.514261
4,125.000,4.420261
4,130.000,4.338261
4,135.000,4.246261
4,140.000,4.187261
4,145.000,4.118261
4,150.000,4.067261
4,155.000,4.034261
4,160.000,3.989261
4,165.000,3.955261
4,170.000,3.934261
4,175.000,3.921261
4,180.000,3.915261
4,185.000,3.925261
4,190.000,3.931261
4,195.000,3.938261
4,200.000,3.966261
4,205.000,3.987261
4,210.000,4.025261
4,215.000,4.085261
4,220.000,4.135261
4,225.000,4.193261
4,230.000,4.261261
4,235.000,4.329261
4,240.000,4.430261
4,245.000,4.522261
4,250.000,4.620261
4,255.000,4.719261
4,260.000,4.827261
4,265.000,4.930261
4,270.000,5.048261
4,275.000,5.150261
4,280.000,5.261261
4,285.000,5.361261
4,290.000,5.472261
4,295.000,5.565261
4,300.000,5.675261
4,305.000,5.760261
4,310.000,5.847261
4,315.000,5.928261
4,320.000,6.004261
4,325.000,6.064261
4,330.000,6.126261
4,335.000,6.186261
4,340.000,6.230261
4,345.000,6.269261
4,350.000,6.300261
4,355.000,6.308261
5,0.000,6.333261
5,5.000,6.335261
5,10.000,6.330261
5,15.000,6.311261
5,20.000,6.287261
5,25.000,6.249261
5,30.000,6.207261
5,35.000,6.163261
5,40.000,6.098261
5,45.000,6.027261
5,50.000,5.951261
5,55.000,5.848261
5,60.000,5.777261
5,65.000,5.680261
5,70.000,5.575261
5,75.000,5.470261
5,80.000,5.356261
5,85.000,5.241261
5,90.000,5.128261
5,95.000,5.017261
5,100.000,4.911261
5,105.000,4.795261
5,110.000,4.687261
5,115.000,4.609261
5,120.000,4.512261
5,125.000,4.420261
5,130.000,4.337261
5,135.000,4.246261
5,140.000,4.184261
5,145.000,4.114261
5,150.000,4.068261
5,155.000,4.031261
5,160.000,3.987261
5,165.000,3.954261
5,170.000,3.935261
5,175.000,3.923261
5,180.000,3.916261
5,185.000,3.925261
5,190.000,3.931261
5,195.000,3.938261
5,200.000,3.964261
5,205.000,3.990261
5,210.000,4.037261
5,215.000,4.081261
5,220.000,4.136261
5,225.000,4.191261
5,230.000,4.259261
5,235.000,4.323261
5,240.000,4.427261
5,245.000,4.520261
5,250.000,4.622261
5,255.000,4.718261
5,260.000,4.827261
5,265.000,4.931261
5,270.000,5.047261
5,275.000,5.157261
5,280.000,5.262261
5,285.000,5.362261
5,290.000,5.471261
5,295.000,5.565261
5,300.000,5.669261
5,305.000,5.764261
5,310.000,5.846261
5,315.000,5.930261
5,320.000,6.005261
5,325.000,6.065261
5,330.000,6.126261
5,335.000,6.186261
5,340.000,6.230261
5,345.000,6.269261
5,350.000,6.300261
5,355.000,6.310261
