# Combined Diameter Scan Report
# Part_ID,CalTest2-offset toward scanner-two rotations
# Timestamp,2026-05-05 22:16:31
# Calibration_File,calibration_Black_05052026-1_20260505_203959.csv
# B19_Calibrated_Diameter,411.163000
# F25_Nominal_Mean,3.829825
# Raw_Diameter,10.354178
# Raw_RMS_Residual,0.038570
# Raw_R_Squared,0.00000000
# Calibrated_Diameter,10.353721
# Calibrated_RMS_Residual,0.038320
# Calibrated_R_Squared,0.00000000

Degree,Raw_B21,F25_cal,Offset_Applied,Calibrated_B21
595.000,4.344000,3.857000,0.027175,4.371175
600.000,4.428000,3.857000,0.027175,4.455175
605.000,4.511000,3.858000,0.028175,4.539175
610.000,4.612000,3.858000,0.028175,4.640175
615.000,4.715000,3.859000,0.029175,4.744175
620.000,4.819000,3.859000,0.029175,4.848175
625.000,4.925000,3.860000,0.030175,4.955175
630.000,5.037000,3.859000,0.029175,5.066175
635.000,5.147000,3.859000,0.029175,5.176175
640.000,5.255000,3.860000,0.030175,5.285175
645.000,5.355000,3.861000,0.031175,5.386175
650.000,5.467000,3.862000,0.032175,5.499175
655.000,5.567000,3.863000,0.033175,5.600175
660.000,5.673000,3.861000,0.031175,5.704175
665.000,5.761000,3.858000,0.028175,5.789175
670.000,5.851000,3.855000,0.025175,5.876175
675.000,5.936000,3.852000,0.022175,5.958175
680.000,6.017000,3.850000,0.020175,6.037175
685.000,6.086000,3.846000,0.016175,6.102175
690.000,6.146000,3.844000,0.014175,6.160175
695.000,6.200000,3.842000,0.012175,6.212175
700.000,6.253000,3.839000,0.009175,6.262175
705.000,6.286000,3.837000,0.007175,6.293175
710.000,6.309000,3.834000,0.004175,6.313175
715.000,6.333000,3.831000,0.001175,6.334175
